symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
688126,688126.SH,沪硅产业,2026-07-14,34.58,-3.57,3.1145,1.4763,3.2764,9.007,9.007,1.0,3.7418,2.4019,2.6798,True,,,,,,False,False,False,above
688169,688169.SH,石头科技,2026-07-14,99.7,0.61,-45.8349,-40.938,-9.7938,45.973,45.973,1.0,-14.5468,-14.9566,0.8196,True,,1.0,1.0,1.0,1.0,False,False,False,below
688183,688183.SH,生益电子,2026-07-14,126.78,14.21,26.1423,21.2234,9.8379,20.62,20.62,1.0,11.2103,10.308,1.8046,True,,,,,,False,False,False,above
688187,688187.SH,时代电气,2026-07-14,48.18,-1.87,2.4991,1.7759,1.4463,5.187,5.187,0.698,0.3417,0.9255,-1.1676,False,,,,,,False,False,True,above
688188,688188.SH,柏楚电子,2026-07-14,93.99,0.04,-21.5135,-18.7778,-5.4714,22.889,22.889,1.0,-7.7013,-1.1153,-13.172,False,,,,,,False,False,False,below
688213,688213.SH,XD思特威-W,2026-07-14,95.18,-1.58,8.129,9.9117,-3.5654,10.414,8.541,0.605,1.0227,0.5454,0.9546,True,,,,,,False,False,False,above
688220,688220.SH,翱捷科技-U,2026-07-14,117.2,-3.42,12.1154,9.8359,4.5591,10.337,10.337,1.0,6.7363,4.405,4.6627,True,,,,,,False,False,False,above
688223,688223.SH,晶科能源,2026-07-14,4.08,0.49,-0.9904,-1.0745,0.1682,26.335,24.274,0.302,-0.5413,-0.2404,-0.6019,False,,,,,,False,False,False,below
688234,688234.SH,天岳先进,2026-07-14,134.02,-3.3,18.9305,10.0747,17.7116,14.125,14.125,1.0,15.6092,14.7689,1.6805,True,,,,,,False,False,False,above
688249,688249.SH,晶合集成,2026-07-14,51.3,0.41,7.2692,4.7537,5.0311,14.17,14.17,1.0,5.992,4.1229,3.7383,True,,,,,,False,False,False,above
688256,688256.SH,寒武纪,2026-07-14,1411.0,1.51,281.1791,268.1061,26.1461,19.928,19.928,0.86,55.1811,45.3303,19.7015,True,,,,,4.0,False,False,False,above
688271,688271.SH,联影医疗,2026-07-14,110.21,1.68,-6.8604,-4.7141,-4.2925,6.225,6.225,0.442,-5.4527,-5.5016,0.0977,True,0.0,0.0,0.0,0.0,0.0,False,False,True,below
688278,688278.SH,特宝生物,2026-07-14,55.68,-0.13,-0.9054,3.0992,-8.0092,5.566,1.626,0.279,-4.7942,-4.9709,0.3535,True,,1.0,1.0,1.0,1.0,False,False,True,below
688297,688297.SH,XD中无人,2026-07-14,39.95,-0.32,0.0143,0.9892,-1.9497,2.476,0.036,0.047,-1.9962,-1.3369,-1.3185,False,,,,,,True,True,True,above
688303,688303.SH,大全能源,2026-07-14,15.63,0.58,-3.0795,-2.6201,-0.9188,19.702,19.702,0.488,-2.1419,-1.7035,-0.8767,False,,,,,,False,False,False,below
688322,688322.SH,奥比中光-W,2026-07-14,111.52,1.74,18.0586,14.9938,6.1296,16.193,16.193,1.0,11.0353,9.0794,3.9118,True,,,,,,False,False,False,above
688349,688349.SH,三一重能,2026-07-14,13.79,0.15,-2.7461,-1.5874,-2.3173,19.913,19.913,1.0,-3.1867,-2.321,-1.7314,False,,,,,,False,False,False,below
688361,688361.SH,中科飞测,2026-07-14,391.88,0.48,62.5765,33.1962,58.7607,15.968,15.968,1.0,55.5089,34.8469,41.324,True,,,,,,False,False,False,above
688375,688375.SH,国博电子,2026-07-14,87.8,-10.93,9.6064,7.0195,5.1737,10.941,10.941,0.698,0.0776,3.0691,-5.983,False,,,,,,False,False,False,above
688396,688396.SH,华润微,2026-07-14,75.88,-2.22,6.6502,3.0696,7.1612,8.764,8.764,1.0,6.7785,4.5467,4.4637,True,,,,,,False,False,False,above
688469,688469.SH,芯联集成-U,2026-07-14,8.48,-2.08,0.918,0.5767,0.6825,10.825,10.825,1.0,0.616,0.4688,0.2944,True,,,,,,False,False,False,above
688472,688472.SH,阿特斯,2026-07-14,9.32,0.54,-0.3351,-0.1881,-0.294,3.596,3.596,0.289,-1.1216,-0.6606,-0.9221,False,,,,,,False,True,True,below
688506,688506.SH,百利天恒,2026-07-14,304.1,1.51,29.0594,39.3594,-20.6002,12.943,9.556,0.535,-4.4273,-12.9033,16.9518,True,,,2.0,2.0,2.0,False,False,False,above
688521,688521.SH,芯原股份,2026-07-14,270.33,-0.45,59.878,44.6754,30.4052,22.15,22.15,0.977,26.2852,25.7831,1.004,True,,,,3.0,3.0,False,False,False,above
688525,688525.SH,佰维存储,2026-07-14,358.37,5.56,77.8408,45.2155,65.2507,21.721,21.721,1.0,63.2553,58.1626,10.1855,True,,,,,,False,False,False,above
688538,688538.SH,和辉光电-U,2026-07-14,2.39,3.02,0.0039,0.02,-0.0321,0.835,0.165,0.116,-0.0333,-0.0562,0.0457,True,,,,,6.0,True,True,True,above
688568,688568.SH,中科星图,2026-07-14,34.68,-7.27,-0.8742,-0.0516,-1.6451,2.521,2.521,0.14,-4.8233,-2.135,-5.3764,False,,,,,,True,True,True,below
688578,688578.SH,艾力斯,2026-07-14,118.15,0.46,12.8255,13.6007,-1.5504,11.511,10.855,0.721,3.7968,0.0926,7.4084,True,,,2.0,2.0,2.0,False,False,False,above
688599,688599.SH,天合光能,2026-07-14,12.09,0.58,-4.0079,-4.7489,1.482,39.28,33.151,0.163,-1.2765,-0.8309,-0.8911,False,,,,,,False,False,False,below
688608,688608.SH,恒玄科技,2026-07-14,120.3,-6.04,-17.4953,4.457,-43.9045,14.543,14.543,0.651,-24.316,-21.4645,-5.703,False,,,,,,False,False,False,below
688617,688617.SH,惠泰医疗,2026-07-14,204.0,-1.55,-44.4514,-35.3944,-18.1141,21.79,21.79,1.0,-17.464,-16.7328,-1.4625,False,,,,,,False,False,False,below
688702,688702.SH,盛科通信-U,2026-07-14,376.61,-4.17,70.9346,42.5977,56.6739,18.835,18.835,1.0,51.7108,44.3946,14.6324,True,,,,,,False,False,False,above
688728,688728.SH,格科微,2026-07-14,19.15,-4.15,0.3706,-0.0985,0.9383,1.935,1.935,0.465,1.0798,0.2475,1.6644,True,,,,,,True,True,True,above
688777,688777.SH,中控技术,2026-07-14,98.24,2.23,10.1909,3.8744,12.6331,10.374,10.374,0.698,11.9291,10.581,2.6961,True,,,,,,False,False,False,above
688981,688981.SH,中芯国际,2026-07-14,160.99,-1.58,20.3111,16.878,6.8661,12.616,12.616,1.0,10.9513,6.4591,8.9845,True,,,,,,False,False,False,above
689009,689009.SH,九号公司-WD,2026-07-14,38.52,3.77,-1.0372,2.3702,-6.8149,6.153,2.693,0.488,-4.3894,-4.6389,0.4989,True,,1.0,1.0,1.0,1.0,False,False,True,below
