ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_liquidity,total_score,sort_key,perilla_tag
920060.BJ,万源通,元器件,20241119,563,374,30.45,-0.08061594202898548,-0.07164634146341453,-0.04843750000000002,False,-0.4241679273827531,-0.5190998487140697,-0.29892130906009884,0.5155379928565756,40.3496,4.5615,0.4411764705882353,46.29759988,177.78383695721925,8.535893048128342,11.8599,-35.0925,-4.7985750000000005,13.163574999999998,17.014,7.0768,42.8832,3,1.708,True,,0.32999999999999996,0.0,0.55,0.0,0.3,0.23900000000000002,0.23900000000000002,C 低 moat
920510.BJ,丰光精密,机械基件,20201228,1985,827,19.65,0.10393258426966279,0.20552147239263796,0.17103694874850994,True,-0.4186390532544392,-0.7106508875739646,0.2522620306227097,0.8216964125405855,,9.2692,,36.19803705,63.41506062998791,3.9118989117291405,-3.9388,58.6105,-91.4948,-5.002100000000001,26.7044,-1.6142,27.5163,1,0.854,True,,0.0,0.0,0.5,0.26999999999999996,0.2,0.16050000000000003,0.16050000000000003,B 中 moat
920533.BJ,骏创科技,汽车配件,20220524,1473,827,23.68,-0.09549274255156603,-0.060317460317460325,-0.14140681653372,True,-0.647619047619048,-0.6869047619047621,0.11362796477158188,0.8528538956304139,89.7783,8.1185,0.6904474002418379,30.963335269999998,101.68197773760579,7.026287908101573,10.0845,-19.1816,-40.5751,-6.6049500000000005,23.1602,4.5785,56.5585,0,0.871,True,,0.18,0.0,0.25,0.0,0.3,0.134,0.134,C 低 moat
920806.BJ,云星宇,软件服务,20240111,876,578,10.84,-0.10561056105610556,-0.14846818538884532,-0.16807367613200308,False,-0.43275771847200606,-0.4672946101517548,-0.05216084882199523,0.6594894170147585,44.1515,2.0857,0.6730103806228374,32.5998547,105.10909204325259,6.9132015570934255,5.0178,-12.0904,-27.286075,-17.984150000000003,10.7674,3.8945,61.7044,0,0.936,True,,0.0,0.0,0.4,0.0,0.3,0.11000000000000001,0.11000000000000001,C 低 moat
920185.BJ,XD贝特瑞,化工原料,20200727,2139,827,27.58,-0.1205357142857143,-0.02129169623846705,-0.12721518987341784,False,-0.4883116883116899,-0.7497217068645639,-0.1125664084870468,0.5491890997375064,36.5257,2.5013,0.871825876662636,313.91291177,157.24371799637242,0.5201360338573157,7.0554,-8.8658,-0.8275250000000001,19.585449999999998,19.9535,5.2226,58.1845,1,6.837,True,,0.13,0.0,0.25,0.0,0.1,0.099,0.099,C 价格战赛道
920019.BJ,铜冠矿建,建筑工程,20241011,602,401,19.25,0.01959745762711873,-0.09326424870466321,-0.008753861997940371,True,-0.465277777777777,-0.538055555555555,-0.3131262176971973,0.6663360083989013,112.6858,4.3284,0.9950124688279302,40.47633975,112.0122823117207,7.672900498753118,4.4074,-20.9225,-24.209799999999998,12.687375,12.5338,4.0909,53.4857,0,0.839,True,,0.0,0.0,0.1,0.0,0.3,0.05,0.05,C 低 moat
920029.BJ,开发科技,电器仪表,20250328,434,288,41.76,-0.4046193327630454,-0.5118073415945756,-0.5436065573770492,False,-0.6573679028552676,-0.6656547423695439,-0.394314204635006,0.5345216514176654,15.5123,2.4269,0.003472222222222222,86.41861714,174.5042560625,5.503165972222223,24.1759,-73.6718,-0.988700000000005,1.1980499999999985,36.5228,10.1047,25.2187,3,2.075,False,最新季净利同比崩盘 (-74%),0.8500000000000001,0.0,1.0,0.0,0.3,0.485,-9.515,B 中 moat
920493.BJ,并行科技,软件服务,20231101,947,628,141.39,-0.1419468382085205,-0.2049148062756566,0.03787711957718565,False,-0.48611615904630345,-0.5623268698060941,0.5633419373206823,0.8935054877172626,423.415,16.8551,0.03896103896103896,85.65682617,320.45602306369426,7.526411305732485,3.0734,222.9258,105.77635000000001,81.34219999999999,20.0251,2.4916,77.9512,4,3.835,False,PE_TTM 极高 (423),0.0,0.9,0.7,0.0,0.5,0.415,-9.585,C 低 moat
920809.BJ,安达科技,电气设备,20230323,1170,775,8.19,-0.07248018120045308,0.1535211267605634,0.06919060052219317,True,-0.2707034728406048,-0.7212822796081924,-0.09324562952298487,0.5971698908224887,,3.0042,,49.062195,85.10532812903226,3.083533419354839,-15.2544,200.6233,92.21357499999999,117.85230000000001,12.8978,4.6036,67.7187,4,2.978,False,ROE 大幅亏损 (-15.3%),0.0,0.9,0.5,0.35,0.2,0.3975,-9.6025,C 低 moat
920953.BJ,国子软件,软件服务,20230823,1017,672,26.67,-0.1755795981452859,-0.2128099173553719,-0.23295944779982747,False,-0.5768010155506194,-0.6033005395112667,0.15329017870014394,0.8297412107891934,56.2013,5.6681,0.5193452380952381,34.168534529999995,102.05616316369048,10.662295238095236,11.6901,-83.2026,1.7708749999999966,15.905724999999999,55.9831,2.7216,10.1787,3,0.734,False,最新季净利同比崩盘 (-83%),0.63,0.13999999999999996,0.5,0.0,0.3,0.354,-9.646,A 高 moat
