ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,rel_ret_20d,rel_ret_60d,rel_ret_120d,idx_ret_60d,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,holder_latest,holder_change_4q,holder_n_quarters,attention_ratio,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_attention,s_liquidity,total_score,sort_key,perilla_tag
920239.BJ,长虹能源,电气设备,20210209,2031,889,22.39,-0.013221683561040143,-0.21438596491228068,-0.31255756831439974,False,-0.6149613069647467,-0.6882352941176471,-0.012196050839594741,0.6386086805145527,-0.0017028303706995152,-0.04146141461774633,-0.08796065945646403,-0.17292455029453435,17.0324,3.6767,0.09752066115702479,40.76641428,78.84677384789651,3.7166935883014625,8968.0,-0.32224909310761785,15,0.8486959109327742,24.9781,-9.1438,5.599625000000001,23.976275,14.5901,5.3871,74.5573,2,1.364,True,,0.15,0.22,1.0,0.0,0.8300000000000001,0.2,0.39300000000000007,0.39300000000000007,C 低 moat
920418.BJ,苏轴股份,汽车配件,20200727,2228,889,19.12,-0.012906556530717594,-0.20399666944213146,-0.2960235640648011,False,-0.6011681268251969,-0.6451814768460564,0.2060337413635529,0.646607342310314,-0.0013877033403769667,-0.03107211914759711,-0.07142665520686542,-0.17292455029453435,24.9379,3.3741,0.6366704161979753,31.06801152,81.17053302460067,3.0547142857142857,8880.0,-0.22889892323723515,15,0.7671944879407883,17.3332,-31.6658,-19.343575,2.8398499999999998,36.8706,15.2876,15.2909,1,1.54,True,,0.78,0.0,0.45,0.0,0.55,0.2,0.389,0.389,B 中高 moat
920879.BJ,基康技术,电器仪表,20221220,1352,889,13.74,0.04407294832826758,-0.1836007130124776,-0.4128205128205128,True,-0.6396538158929981,-0.680828743771309,0.2708669378728983,0.5827185553191144,0.05559180151860821,-0.01067616271794325,-0.1882236039625771,-0.17292455029453435,33.352,4.3073,0.6647919010123734,27.59937504,33.183311483498315,1.623881214848144,5885.0,0.36956015824994193,15,0.8131761364697968,13.4432,0.4332,-2.251725,4.4383,53.6547,18.818,18.7611,3,0.941,True,,0.75,0.06999999999999999,0.45,0.27,0.13,0.1,0.3775,0.3775,A 高 moat
920839.BJ,万通液压,工程机械,20201109,2123,889,25.57,0.021982414068745015,-0.21104597346497989,-0.3096652267818575,False,-0.565874363327673,-0.6108658743633268,0.44797629398281136,0.6289318051206501,0.03350126725908564,-0.038121423170445534,-0.08506831792392178,-0.17292455029453435,25.2631,4.6484,0.5995500562429696,30.22628958,39.77050981094488,2.1203888638920136,4984.0,-0.0022022022022022414,15,0.6902895572090118,20.1509,-8.7435,-6.334074999999999,6.822050000000001,29.3583,16.4873,34.4002,1,0.747,True,,0.6699999999999999,0.0,0.6000000000000001,0.06999999999999999,0.3,0.2,0.368,0.368,B 中 moat
920533.BJ,骏创科技,汽车配件,20220524,1562,889,20.77,0.12391774891774876,-0.15293637846655794,-0.20329881089374757,True,-0.6909226190476192,-0.7590773809523811,0.0668077101776976,0.8354692200483669,0.1354366021080894,0.01998817182797641,0.021298097964188134,-0.17292455029453435,64.5503,7.0909,0.5905511811023622,27.15829703,97.33050126159729,6.723506299212599,7702.0,-0.2248389694041868,19,1.079552339486905,10.0845,37.3262,6.637025000000001,5.6224750000000006,23.6658,5.9412,57.3293,2,0.832,True,,0.22999999999999998,0.25,0.5,0.48,0.6799999999999999,0.3,0.36250000000000004,0.36250000000000004,C 低 moat
920978.BJ,开特股份,汽车配件,20230928,1070,708,20.19,-0.007374631268436516,-0.21378504672897192,-0.2590825688073394,False,-0.5625135427952319,-0.6088840736728054,0.40790114882654716,0.6609856186111682,0.004144221921904112,-0.040860496434437565,-0.03448565994940367,-0.17292455029453435,22.7454,4.4067,0.4632768361581921,36.34774769,87.02753545033899,4.242766384180791,5909.0,0.011641842150316828,14,0.636099360394245,23.7335,-15.6663,-6.04145,15.71145,29.856,13.1181,42.2584,1,1.792,True,,0.6699999999999999,0.0,0.6000000000000001,0.0,0.3,0.2,0.361,0.361,B 中 moat
920640.BJ,富士达,通信设备,20200727,2228,889,26.99,-0.014243973703433221,-0.22330935251798567,-0.32525000000000004,False,-0.5180357142857143,-0.5682142857142856,0.1502396527958878,0.6463620388220982,-0.0027251205130925937,-0.05038480222345132,-0.10065309114206433,-0.17292455029453435,62.9357,5.3943,0.5196850393700787,50.6677872,130.41272401322834,2.3462800899887513,12273.0,0.05032092426187429,15,0.7302291700689952,8.6435,7.4821,17.3006,14.533075,30.3393,9.4448,37.7143,4,2.081,True,,0.32999999999999996,0.45,0.5,0.0,0.3,0.2,0.35150000000000003,0.35150000000000003,B 中 moat
920060.BJ,万源通,元器件,20241119,652,436,22.56,0.006693440428380049,-0.28652751423149914,-0.36450704225352115,False,-0.5733736762481086,-0.6210287443267775,-0.3749879967487654,0.5143169739392682,0.018212293618720676,-0.11360296393696478,-0.13991013339558545,-0.17292455029453435,36.0382,3.332,0.11926605504587157,34.30127597,161.8684419675459,7.7061795871559635,8892.0,-0.19485693589279252,13,0.7141750903695744,11.8599,-45.5961,-31.2868,10.157,15.8978,5.9318,45.8644,1,1.417,True,,0.32999999999999996,0.0,0.85,0.0,0.55,0.3,0.339,0.339,C 低 moat
920015.BJ,锦华新材,化工原料,20250925,342,226,39.22,-0.10272248913292159,-0.16994708994708996,-0.13669381465991637,False,-0.4373027259684359,-0.45322812051649897,-0.07724183272690144,0.7979466287231505,-0.09120363594258096,0.002977460347444394,0.08790309419801934,-0.17292455029453435,36.7312,3.1557,0.672566371681416,53.169246799999996,197.38188514327436,10.874445575221241,5018.0,-0.11561508635882978,32,0.5064265421245463,15.4425,-43.8246,-34.354375,-24.0959,24.6055,15.5279,19.4195,0,1.381,True,,0.6000000000000001,0.0,0.4,0.03,0.55,0.3,0.333,0.333,C 价格战赛道
920720.BJ,吉冈精密,机械基件,20211124,1743,889,10.01,0.04597701149425282,-0.14953271028037385,-0.25130890052356014,True,-0.6371873867343242,-0.6814063066328382,-0.042170733352698386,0.7916029127811728,0.057495864684593445,0.023391840014160503,-0.026711991665624435,-0.17292455029453435,51.7411,5.0049,0.5568053993250843,26.515623129999998,51.41539572022497,6.235728458942632,7863.0,-0.129428697962799,15,0.7709387319164401,12.4253,-36.4633,-24.292074999999997,6.963724999999999,18.9363,5.9392,43.9786,1,0.646,True,,0.32999999999999996,0.0,0.5,0.35,0.55,0.3,0.30400000000000005,0.30400000000000005,C 低 moat
920100.BJ,三协电机,电气设备,20250908,359,239,31.98,-0.12142857142857133,-0.3486761710794297,-0.4747043363994744,False,-0.6481848184818482,-0.6657865786578658,-0.5941099142631054,0.741589130446308,-0.1099097182382307,-0.17575162078489537,-0.2501074275415387,-0.17292455029453435,61.0938,7.1166,0.18410041841004185,33.0458998,141.95756359841005,11.80467740585774,6858.0,359.94736842105266,13,0.6853273557519589,16.2725,-20.0089,-9.32575,35.268675,21.4601,6.9156,40.1769,1,0.856,True,,0.43000000000000005,0.0,0.7999999999999999,0.0,0.0,0.3,0.30400000000000005,0.30400000000000005,C 低 moat
920088.BJ,科力股份,石油开采,20241029,673,451,46.4,0.02225159726812076,0.12104373036965455,-0.3739036567264876,True,-0.47970396949988825,-0.6473424534649025,0.13820944474029084,0.977470189747391,0.03377045045846139,0.2939682806641889,-0.14930674786855191,-0.17292455029453435,94.4616,5.7451,0.926829268292683,40.865176,208.0041880263193,17.750759645232815,8285.0,-0.10866057019903175,14,0.9220636608308547,8.4285,-48.984,-40.6572,11.515575000000002,32.106,8.0839,23.2795,1,1.341,True,,0.43,0.0,0.1,0.57,0.6799999999999999,0.5,0.29900000000000004,0.29900000000000004,B 中 moat
920491.BJ,奥迪威,元器件,20220614,1541,889,23.02,-0.021258503401360596,-0.20920645826176576,-0.09441384736428016,False,-0.4155877126174158,-0.480154888673766,0.2680837966552563,0.622944159230441,-0.009739650211019968,-0.03628190796723141,0.13018306149365555,-0.17292455029453435,44.7461,3.0606,0.7255343082114736,32.49116004,108.69441036154106,3.7565771653543307,9467.0,-0.3568177185950132,15,0.6104842686445398,9.0443,-42.4358,-30.066175,-1.3749749999999998,32.8867,9.1473,14.9477,1,2.172,True,,0.43,0.0,0.4,0.06999999999999999,0.7,0.2,0.29600000000000004,0.29600000000000004,B 中 moat
920806.BJ,云星宇,软件服务,20240111,965,640,11.06,0.02029520295202958,-0.03406113537117894,-0.13929961089494158,True,-0.4212454212454231,-0.5107273678702267,-0.04000424045824491,0.6391748480096119,0.031814056142370206,0.1388634149233554,0.08529729796299412,-0.17292455029453435,45.609,2.1629,0.771875,33.26147537,97.6418411171875,6.330444062500001,8325.0,-0.21202082347373408,14,1.0021265304866795,5.0178,-12.8511,-18.006975,-2.64255,14.7513,3.4473,61.2798,0,1.117,True,,0.0,0.0,0.4,0.5399999999999999,0.6799999999999999,0.3,0.21700000000000003,0.21700000000000003,C 低 moat
920593.BJ,鼎智科技,机械基件,20230413,1238,823,24.42,-0.05750675414897721,-0.27794204612655227,-0.20636984075398113,False,-0.8275545512322581,-0.9039615846338538,-0.11901360122677684,0.9195388376542781,-0.045987900958636585,-0.10501749583201792,0.01822706810395458,-0.17292455029453435,168.3513,6.321,0.6901579586877278,46.45804194,161.3590708271932,5.211985540704739,11159.0,-0.1313249260470185,17,0.6583955009223789,4.3101,,-26.141633333333335,43.1672,,,19.7377,0,1.967,True,,0.2,0.0,0.25,0.0,0.55,0.3,0.18,0.18,C 低 moat
920185.BJ,贝特瑞,化工原料,20200727,2228,889,21.29,-0.005140186915887801,-0.2363701578192252,-0.29033333333333333,False,-0.6050092764378493,-0.7497217068645639,-0.1656013304763968,0.5379434020024065,0.006378666274452827,-0.06344560752469086,-0.06573642447539763,-0.17292455029453435,31.1063,1.9015,0.7525309336332958,242.32073572999997,155.4117338191001,0.5186536557930259,23846.0,0.02259959689523572,15,0.7557367904090789,7.0554,-20.0732,-13.73515,26.79645,19.6481,5.4244,60.804,0,6.13,True,,0.13,0.0,0.45,0.0,0.3,0.1,0.164,0.164,C 价格战赛道
920019.BJ,铜冠矿建,建筑工程,20241011,691,463,15.61,0.06335149863760225,-0.20438328236493386,-0.2647197362223269,False,-0.5663888888888882,-0.6277777777777771,-0.3521406537059407,0.6440466022301622,0.07487035182794288,-0.03145873207039951,-0.04012282736439121,-0.17292455029453435,77.515,3.4821,0.6609071274298056,32.82263187,102.9582367838445,6.860727213822894,8367.0,-0.003809977378259277,13,0.8578935745026959,4.4074,4.4804,-13.919049999999999,18.998725,13.4487,5.3698,54.168,2,0.822,True,,0.0,0.01999999999999999,0.35000000000000003,0.06999999999999999,0.43,0.3,0.14,0.14,C 低 moat
920438.BJ,戈碧迦,元器件,20240325,891,594,101.18,-0.16380165289256188,0.08029041212897736,1.3751173708920188,False,-0.3793018833200412,-0.6589279617616937,0.8306901984826494,0.9045740667338763,-0.15228279970222125,0.2532149624235117,1.5997142797499544,-0.17292455029453435,303.0834,14.6899,0.8720538720538721,146.1656398,271.40762609819865,6.341526936026936,21207.0,1.7381536475145256,14,0.6493094028685852,3.1006,150.4566,68.545325,21.3946,30.4603,9.2587,42.122,3,8.015,False,PE_TTM 极高 (303),0.25,0.74,0.1,0.3,0.0,0.5,0.3350000000000001,-9.665,B 中 moat
