ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2024-04-18,745.6945,747.132,757.7477,741.1968,750.8884,-5.1939,-0.6917,19080342.0,53433997.84
000688.SH,2024-04-19,730.5623,741.2853,741.9228,729.5666,745.6945,-15.1322,-2.0293,16603589.0,46251643.635
000688.SH,2024-04-22,731.811,723.4082,735.9679,719.122,730.5623,1.2487,0.1709,15965519.0,44367612.859
000688.SH,2024-04-23,727.8533,732.8677,736.3613,724.9005,731.811,-3.9577,-0.5408,15411070.0,41379628.051
000688.SH,2024-04-24,738.6349,731.7109,739.0126,728.3789,727.8533,10.7816,1.4813,16525813.0,46672061.743
000688.SH,2024-04-25,733.344,735.5631,740.4731,730.6082,738.6349,-5.2909,-0.7163,16152999.0,46147084.918
000688.SH,2024-04-26,752.2497,733.0156,753.1478,733.0156,733.344,18.9057,2.578,21895507.0,66261566.352
000688.SH,2024-04-29,776.1538,752.9244,780.1969,752.6192,752.2497,23.9041,3.1777,25607571.0,75786389.646
000688.SH,2024-04-30,767.4642,773.8434,775.9247,765.5962,776.1538,-8.6896,-1.1196,21291970.0,60792508.969
000688.SH,2024-05-06,777.6628,778.9884,785.0726,774.0378,767.4642,10.1986,1.3289,21260962.0,63895184.417
000688.SH,2024-05-07,769.7918,776.8241,779.5932,768.3999,777.6628,-7.871,-1.0121,19046323.0,58001964.11
000688.SH,2024-05-08,761.6581,769.6877,769.696,760.5681,769.7918,-8.1337,-1.0566,17301005.0,51592347.291
000688.SH,2024-05-09,778.8728,762.4007,779.4813,762.4007,761.6581,17.2147,2.2602,19590355.0,59636595.894
000688.SH,2024-05-10,767.1724,778.1523,778.5605,764.439,778.8728,-11.7004,-1.5022,18440335.0,54642285.734
000688.SH,2024-05-13,763.6902,760.0977,769.2053,757.9635,767.1724,-3.4822,-0.4539,18791632.0,53977392.084
000688.SH,2024-05-14,760.3046,766.6452,769.4159,759.4327,763.6902,-3.3856,-0.4433,15472971.0,45269222.796
000688.SH,2024-05-15,749.4741,758.7998,760.0837,749.2219,760.3046,-10.8305,-1.4245,13491056.0,39431834.558
000688.SH,2024-05-16,746.4714,753.4523,755.1738,745.0172,749.4741,-3.0027,-0.4006,15060795.0,43341764.395
000688.SH,2024-05-17,754.4177,743.7945,754.5608,741.8559,746.4714,7.9463,1.0645,16810362.0,45479409.947
000688.SH,2024-05-20,753.5417,752.2018,761.1733,749.807,754.4177,-0.876,-0.1161,18255758.0,54188051.565
000688.SH,2024-05-21,748.2354,752.2879,755.4613,747.3057,753.5417,-5.3063,-0.7042,14797268.0,43757015.769
000688.SH,2024-05-22,754.9728,749.9091,756.6957,743.6822,748.2354,6.7374,0.9004,17875265.0,47104991.869
000688.SH,2024-05-23,742.3956,754.4028,755.4,741.4118,754.9728,-12.5772,-1.6659,17360466.0,47237906.836
000688.SH,2024-05-24,727.2069,741.6769,746.3954,726.8663,742.3956,-15.1887,-2.0459,17035306.0,48144600.377
000688.SH,2024-05-27,738.6533,726.3661,739.4492,719.5413,727.2069,11.4464,1.574,18033003.0,52737526.593
000688.SH,2024-05-28,734.8485,736.6999,746.295,734.5837,738.6533,-3.8048,-0.5151,16252414.0,46263616.462
000688.SH,2024-05-29,734.3334,734.2882,741.337,731.5313,734.8485,-0.5151,-0.0701,15606172.0,40100996.556
000688.SH,2024-05-30,742.7038,733.5473,746.2628,730.3387,734.3334,8.3704,1.1399,16472358.0,44808112.644
000688.SH,2024-05-31,743.2275,743.1773,751.3954,741.3514,742.7038,0.5237,0.0705,17256354.0,46039605.004
000688.SH,2024-06-03,750.427,743.6078,754.6477,742.2046,743.2275,7.1995,0.9687,24023261.0,60802196.433
000688.SH,2024-06-04,753.6377,748.3021,755.2522,746.5304,750.427,3.2107,0.4278,19203401.0,48176424.871
000688.SH,2024-06-05,752.0444,752.0488,762.2622,751.3513,753.6377,-1.5933,-0.2114,16498547.0,45466641.0
000688.SH,2024-06-06,743.229,756.7882,759.2429,741.6784,752.0444,-8.8154,-1.1722,22550234.0,55803507.95
000688.SH,2024-06-07,737.926,744.3852,749.4184,731.5192,743.229,-5.303,-0.7135,16720502.0,45120126.315
000688.SH,2024-06-11,755.8345,735.8374,756.5254,734.7608,737.926,17.9085,2.4269,19587723.0,55350331.963
000688.SH,2024-06-12,754.9332,758.3821,761.5984,753.6073,755.8345,-0.9013,-0.1192,18227638.0,53808242.843
000688.SH,2024-06-13,758.9816,758.6061,765.9496,755.6062,754.9332,4.0484,0.5363,25978950.0,69949751.48
000688.SH,2024-06-14,754.2607,756.4109,756.5347,750.4948,758.9816,-4.7209,-0.622,29506159.0,77877050.718
000688.SH,2024-06-17,757.106,749.9432,759.9313,748.6959,754.2607,2.8453,0.3772,22019578.0,62197998.859
000688.SH,2024-06-18,756.9042,757.8521,763.8241,753.5545,757.106,-0.2018,-0.0267,19653822.0,55349393.172
000688.SH,2024-06-19,751.6883,758.4099,759.1351,747.7447,756.9042,-5.2159,-0.6891,19207461.0,56055144.089
000688.SH,2024-06-20,755.151,752.1524,766.1242,749.816,751.6883,3.4627,0.4607,26905292.0,73310755.827
000688.SH,2024-06-21,758.3741,749.7329,758.6693,744.5016,755.151,3.2231,0.4268,20387596.0,55501975.189
000688.SH,2024-06-24,739.142,754.4125,762.1453,738.2127,758.3741,-19.2321,-2.536,23239029.0,60440038.909
000688.SH,2024-06-25,717.7493,738.3239,738.7959,713.4223,739.142,-21.3927,-2.8943,19469298.0,52283254.246
000688.SH,2024-06-26,729.6441,719.8394,732.1267,713.0044,717.7493,11.8948,1.6572,18530167.0,46979517.809
000688.SH,2024-06-27,715.3568,725.5201,727.389,715.1699,729.6441,-14.2873,-1.9581,16091572.0,42171532.08
000688.SH,2024-06-28,712.0772,713.3629,724.8969,710.5383,715.3568,-3.2796,-0.4585,17709520.0,47209566.802
000688.SH,2024-07-01,709.6032,711.6547,714.1296,699.4157,712.0772,-2.474,-0.3474,17128692.0,45399161.827
000688.SH,2024-07-02,699.123,709.1549,709.1718,697.5436,709.6032,-10.4802,-1.4769,14508489.0,39357461.169
000688.SH,2024-07-03,701.7847,698.958,707.3553,692.8089,699.123,2.6617,0.3807,15022225.0,40225649.261
