ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volume_ratio,turnover_rate,turnover_rate_f
688322.SH,2025-06-13,50.98,51.28,49.51,50.13,51.27,-1.14,-2.2235,61514.23,308567.257,1.3,2.3929,3.1827
688322.SH,2025-06-16,49.89,53.18,49.8,52.4,50.13,2.27,4.5282,95782.74,494554.716,1.97,3.726,4.9558
688322.SH,2025-06-17,52.41,52.41,50.28,50.6,52.4,-1.8,-3.4351,71517.81,364816.504,1.25,2.7821,3.7003
688322.SH,2025-06-18,50.5,54.89,50.43,54.69,50.6,4.09,8.083,133696.01,709467.645,2.21,5.2009,6.9174
688322.SH,2025-06-19,56.78,58.9,55.51,56.85,54.69,2.16,3.9495,180302.35,1024003.004,2.25,7.0139,9.3288
688322.SH,2025-06-20,56.81,57.13,54.85,55.0,56.85,-1.85,-3.2542,105063.66,585092.818,0.97,4.087,5.436
688322.SH,2025-06-23,54.0,56.37,53.86,55.49,55.0,0.49,0.8909,83803.81,463413.634,0.71,3.2462,4.3115
688322.SH,2025-06-24,55.98,58.36,55.61,57.79,55.49,2.3,4.1449,118946.38,682985.76,1.04,4.6074,6.1195
688322.SH,2025-06-25,57.82,59.76,57.24,59.1,57.79,1.31,2.2668,116909.63,685094.119,0.94,4.5285,6.0147
688322.SH,2025-06-26,58.8,60.16,57.67,57.72,59.1,-1.38,-2.335,80944.61,476047.329,0.67,3.1354,4.1644
688322.SH,2025-06-27,58.0,58.44,57.11,58.15,57.72,0.43,0.745,65989.44,381459.848,0.65,2.5561,3.395
688322.SH,2025-06-30,58.0,59.77,57.91,59.01,58.15,0.86,1.4789,74673.82,440953.543,0.8,2.8925,3.8418
688322.SH,2025-07-01,58.71,60.5,58.2,59.48,59.01,0.47,0.7965,70373.02,418038.42,0.77,2.7259,3.6205
688322.SH,2025-07-02,59.3,61.59,58.15,60.57,59.48,1.09,1.8325,91740.58,551945.89,1.12,3.5536,4.7198
688322.SH,2025-07-03,60.01,60.53,56.74,57.65,60.57,-2.92,-4.8209,99182.61,577657.8,1.29,3.8419,5.1027
688322.SH,2025-07-04,57.33,59.13,57.25,58.06,57.65,0.41,0.7112,68323.06,399881.504,0.85,2.6465,3.515
688322.SH,2025-07-07,57.97,60.39,57.35,58.34,58.06,0.28,0.4823,54259.89,317982.142,0.67,1.857,2.634
688322.SH,2025-07-08,58.06,61.3,57.88,60.81,58.34,2.47,4.2338,82841.59,499533.795,1.08,2.8351,4.0215
688322.SH,2025-07-09,62.39,63.5,60.22,60.26,60.81,-0.55,-0.9045,84089.07,519490.317,1.06,2.8778,4.082
688322.SH,2025-07-10,59.93,61.17,59.41,60.06,60.26,-0.2,-0.3319,53416.73,321187.436,0.69,1.8281,2.5931
