ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20240801,2932.3871,2940.12,2947.8768,2928.8262,2938.7493,-6.3622,-0.2165,346621137.0,352586120.4
000001.SH,20240802,2905.3375,2913.0198,2931.2593,2902.7202,2932.3871,-27.0496,-0.9224,312205039.0,314917985.4
000001.SH,20240805,2860.6978,2889.3634,2919.0252,2860.6978,2905.3375,-44.6397,-1.5365,355540572.0,356863001.4
000001.SH,20240806,2867.2837,2878.6508,2888.2009,2845.335,2860.6978,6.5859,0.2302,297300803.0,295835558.8
000001.SH,20240807,2869.8338,2864.0101,2886.9417,2857.7247,2867.2837,2.5501,0.0889,263097150.0,263793649.8
000001.SH,20240808,2869.9014,2864.758,2886.3994,2850.8745,2869.8338,0.0676,0.0024,289128632.0,271107919.5
000001.SH,20240809,2862.1941,2879.8726,2887.8489,2862.1941,2869.9014,-7.7073,-0.2686,284253916.0,252884027.0
000001.SH,20240812,2858.2046,2858.8946,2869.2688,2851.2952,2862.1941,-3.9895,-0.1394,244241371.0,217626684.5
000001.SH,20240813,2867.946,2860.4099,2867.946,2845.3099,2858.2046,9.7414,0.3408,231674601.0,210908509.4
000001.SH,20240814,2850.6539,2866.2434,2866.2434,2850.401,2867.946,-17.2921,-0.6029,217885170.0,207457552.4
000001.SH,20240815,2877.3579,2844.2005,2889.0866,2839.3875,2850.6539,26.704,0.9368,271900000.0,254987115.6
000001.SH,20240816,2879.4298,2877.9403,2888.6753,2873.0601,2877.3579,2.0719,0.072,263653441.0,243608265.4
000001.SH,20240819,2893.6738,2877.9542,2905.1547,2877.7709,2879.4298,14.244,0.4947,261687730.0,242994885.3
000001.SH,20240820,2866.661,2895.5506,2896.5194,2855.3293,2893.6738,-27.0128,-0.9335,263658002.0,237307804.0
000001.SH,20240821,2856.5839,2858.9388,2863.891,2848.1509,2866.661,-10.0771,-0.3515,229200027.0,209909187.8
000001.SH,20240822,2848.7718,2856.2001,2861.6071,2845.5024,2856.5839,-7.8121,-0.2735,245399415.0,230124077.2
000001.SH,20240823,2854.3675,2844.7703,2860.7327,2839.3371,2848.7718,5.5957,0.1964,226692565.0,214581900.3
000001.SH,20240826,2855.5203,2855.4741,2860.6545,2844.3828,2854.3675,1.1528,0.0404,227351523.0,216806649.0
000001.SH,20240827,2848.7312,2850.8773,2853.7804,2843.1576,2855.5203,-6.7891,-0.2378,230693006.0,215686326.2
000001.SH,20240828,2837.4293,2844.3269,2852.5621,2830.9615,2848.7312,-11.3019,-0.3967,228730623.0,213862368.7
000001.SH,20240829,2823.106,2829.4506,2831.4309,2815.3829,2837.4293,-14.3233,-0.5048,277510534.0,257644228.8
000001.SH,20240830,2842.2142,2819.6498,2867.9649,2817.0141,2823.106,19.1082,0.6769,397516975.0,384092892.1
000001.SH,20240902,2811.035,2832.3499,2839.2784,2810.3739,2842.2142,-31.1792,-1.097,340714193.0,314813036.7
000001.SH,20240903,2802.9787,2809.1733,2814.903,2794.9111,2811.035,-8.0563,-0.2866,275736139.0,252782482.5
000001.SH,20240904,2784.2783,2786.5046,2800.6065,2781.9352,2802.9787,-18.7004,-0.6672,257453500.0,234711697.3
000001.SH,20240905,2788.3141,2785.2635,2796.0186,2777.471,2784.2783,4.0358,0.1449,242040948.0,227514507.2
000001.SH,20240906,2765.8066,2791.7645,2804.0932,2765.6394,2788.3141,-22.5075,-0.8072,253645375.0,228570135.0
000001.SH,20240909,2736.4876,2754.7237,2756.556,2726.9667,2765.8066,-29.319,-1.0601,261468847.0,236605848.5
000001.SH,20240910,2744.1921,2737.881,2750.1181,2718.6273,2736.4876,7.7045,0.2815,262159015.0,226408493.0
000001.SH,20240911,2721.7952,2732.7314,2732.7314,2710.6208,2744.1921,-22.3969,-0.8162,242264900.0,219755948.4
000001.SH,20240912,2717.1231,2722.1382,2734.6832,2716.5552,2721.7952,-4.6721,-0.1717,240084315.0,218571098.7
000001.SH,20240913,2704.0896,2718.9864,2728.7797,2703.3689,2717.1231,-13.0335,-0.4797,251270038.0,227818801.1
000001.SH,20240918,2717.2813,2705.3451,2724.1141,2689.6952,2704.0896,13.1917,0.4878,247817132.0,213090588.6
000001.SH,20240919,2736.0222,2723.2053,2747.7402,2697.7756,2717.2813,18.7409,0.6897,315208389.0,280536046.2
000001.SH,20240920,2736.8139,2734.2277,2741.1552,2717.9451,2736.0222,0.7917,0.0289,285644627.0,255433329.9
000001.SH,20240923,2748.9177,2735.3895,2760.4799,2731.3571,2736.8139,12.1038,0.4423,257642154.0,235214505.9
000001.SH,20240924,2863.1255,2770.7543,2863.1519,2761.3717,2748.9177,114.2078,4.1546,477619545.0,442795296.9
000001.SH,20240925,2896.3057,2901.4185,2952.4511,2889.048,2863.1255,33.1802,1.1589,568259816.0,516698093.6
000001.SH,20240926,3000.9526,2893.7451,3000.9526,2889.0143,2896.3057,104.6469,3.6131,576319261.0,524669070.9
000001.SH,20240927,3087.5286,3049.1026,3087.5286,3017.4453,3000.9526,86.576,2.885,492287163.0,480612559.5
000001.SH,20240930,3336.4974,3194.7224,3358.5883,3153.697,3087.5286,248.9688,8.0637,1102337917.0,1167772550.0
000001.SH,20241008,3489.7751,3674.4048,3674.4048,3372.1868,3336.4974,153.2777,4.594,1313460195.0,1510513250.8
000001.SH,20241009,3258.8578,3427.2199,3437.1571,3249.1591,3489.7751,-230.9173,-6.617,992757256.0,1264311454.4
000001.SH,20241010,3301.9259,3277.6916,3379.8053,3228.1248,3258.8578,43.0681,1.3216,834500257.0,947788515.0
000001.SH,20241011,3217.7377,3287.8727,3297.7517,3187.9882,3301.9259,-84.1882,-2.5497,606027433.0,664332794.5
000001.SH,20241014,3284.3225,3241.4275,3294.6199,3203.901,3217.7377,66.5848,2.0693,631466859.0,701499242.6
000001.SH,20241015,3201.2919,3265.7461,3285.2147,3201.2919,3284.3225,-83.0306,-2.5281,566054558.0,619091471.9
000001.SH,20241016,3202.948,3169.1685,3236.848,3167.7364,3201.2919,1.6561,0.0517,515813997.0,533062408.9
000001.SH,20241017,3169.3843,3220.7334,3241.5675,3169.3843,3202.948,-33.5637,-1.0479,528611772.0,557347351.4
000001.SH,20241018,3261.5633,3165.9745,3313.9784,3152.8213,3169.3843,92.179,2.9084,693014623.0,827948922.1
000001.SH,20241021,3268.11,3276.0598,3300.664,3239.0965,3261.5633,6.5467,0.2007,668150299.0,855781454.0
000001.SH,20241022,3285.8669,3263.8224,3294.9612,3255.1375,3268.11,17.7569,0.5433,574913781.0,698861461.3
000001.SH,20241023,3302.8028,3285.2474,3331.0823,3277.0663,3285.8669,16.9359,0.5154,650444128.0,760066419.6
000001.SH,20241024,3280.2625,3287.8243,3292.9448,3266.8823,3302.8028,-22.5403,-0.6825,519827074.0,585248947.0
000001.SH,20241025,3299.7003,3280.7616,3319.3571,3276.1303,3280.2625,19.4378,0.5926,595651707.0,677255321.3
000001.SH,20241028,3322.1975,3300.4634,3322.1975,3279.715,3299.7003,22.4972,0.6818,672373131.0,717510218.0
000001.SH,20241029,3286.407,3328.0885,3340.4584,3284.2108,3322.1975,-35.7905,-1.0773,725326154.0,806573822.3
000001.SH,20241030,3266.2378,3273.6421,3291.6795,3244.8063,3286.407,-20.1692,-0.6137,669018090.0,730619786.7
000001.SH,20241031,3279.8244,3267.975,3295.7421,3252.3899,3266.2378,13.5866,0.416,784649094.0,864970969.0
000001.SH,20241101,3272.0142,3275.5768,3305.3181,3258.7346,3279.8244,-7.8102,-0.2381,852055320.0,878112793.9
000001.SH,20241104,3310.2072,3275.6787,3310.2072,3263.8421,3272.0142,38.193,1.1673,665077454.0,692341763.3
000001.SH,20241105,3386.9869,3306.8098,3386.9869,3302.0472,3310.2072,76.7797,2.3195,821124902.0,929931429.4
000001.SH,20241106,3383.8062,3395.2217,3420.9986,3367.0812,3386.9869,-3.1807,-0.0939,895855930.0,1026807640.4
000001.SH,20241107,3470.6609,3359.9851,3470.6609,3356.258,3383.8062,86.8547,2.5668,959556680.0,1048841306.1
000001.SH,20241108,3452.2971,3502.1331,3509.8182,3443.193,3470.6609,-18.3638,-0.5291,964034562.0,1107932295.6
000001.SH,20241111,3470.0657,3432.3672,3471.1222,3416.7266,3452.2971,17.7686,0.5147,818025436.0,1024334899.5
000001.SH,20241112,3421.9701,3469.8908,3489.4244,3402.0422,3470.0657,-48.0956,-1.386,817926524.0,1039600859.3
000001.SH,20241113,3439.2778,3406.9164,3442.2983,3404.5254,3421.9701,17.3077,0.5058,673662348.0,829435317.0
000001.SH,20241114,3379.8389,3429.5054,3441.7746,3376.1528,3439.2778,-59.4389,-1.7282,631556690.0,762884198.8
000001.SH,20241115,3330.7263,3369.8092,3391.3204,3330.7263,3379.8389,-49.1126,-1.4531,630285583.0,745937122.4
000001.SH,20241118,3323.8486,3344.6904,3386.9031,3309.0076,3330.7263,-6.8777,-0.2065,743950692.0,755809644.5
000001.SH,20241119,3346.0098,3324.8831,3346.7577,3284.133,3323.8486,22.1612,0.6667,625024151.0,651575376.3
000001.SH,20241120,3367.9893,3337.6778,3375.2482,3333.0023,3346.0098,21.9795,0.6569,566154289.0,627858323.2
000001.SH,20241121,3370.4039,3362.9444,3378.5175,3348.8552,3367.9893,2.4146,0.0717,530331830.0,614517433.7
000001.SH,20241122,3267.1916,3368.043,3372.0034,3267.1916,3370.4039,-103.2123,-3.0623,630687790.0,707626460.3
000001.SH,20241125,3263.7597,3274.884,3285.4555,3232.9178,3267.1916,-3.4319,-0.105,538897390.0,596502088.3
000001.SH,20241126,3259.7572,3256.8576,3285.3281,3252.8661,3263.7597,-4.0025,-0.1226,472219304.0,509490596.3
000001.SH,20241127,3309.7789,3250.591,3309.8805,3227.3553,3259.7572,50.0217,1.5345,511202303.0,571617596.0
000001.SH,20241128,3295.6983,3308.2797,3319.2559,3290.3641,3309.7789,-14.0806,-0.4254,511953047.0,558164131.7
000001.SH,20241129,3326.4557,3295.2096,3357.5013,3293.6899,3295.6983,30.7574,0.9333,580227102.0,663851511.0
